SCUS-94476;HOT SHOTS GOLF 2
SLUS-01293;HOT WHEELS - EXTREME RACING
SLUS-00964;HOT WHEELS - TURBO RACING
SLUS-01559;HUGO 6 - THE EVIL MIRROR
SLUS-00847;HYDRO THUNDER
SLUS-00566;IAN LIVINGSTONE'S DEATHTRAP DUNGEON
SLUS-01097;IHRA DRAG RACING
SLUS-00225;IMPACT RACING
SLUS-01314;IN COLD BLOOD
SLUS-00172;IN THE HUNT
SLUS-01225;INCREDIBLE CRISIS
SLUS-00221;INDEPENDENCE DAY
SLUS-01267;INSPECTOR GADGET - GADGET'S CRAZY MAZE
SCUS-94181;INTELLIGENT QUBE
SLUS-00906;INTELLIVISION CLASSICS
SLUS-00238;INTERNATIONAL TRACK & FIELD
SLUS-00987;INTERNATIONAL TRACK & FIELD 2000
SLUS-00850;INTERPLAY SPORTS BASEBALL 2000
SLUS-01534;INUYASHA - A FEUDAL FAIRY TALE
SLUS-00709;INVASION FROM BEYOND
SLUS-00378;IRON & BLOOD - WARRIORS OF RAVENLOFT
SLUS-00235;IRON MAN X-O MANOWAR IN HEAVY METAL
SLUS-01061;IRON SOLDIER 3
SLUS-00775;IRRITATING STICK
SLUS-00674;ISS PRO 98
SLUS-01014;ISS PRO EVOLUTION
SLUS-00684;JACKIE CHAN'S STUNTMASTER
SLUS-00854;JADE COCOON - THE STORY OF THE TAMAMAYU
SLUS-01139;JARRETT & LABONTE STOCK CAR RACING
SLUS-00682;JEOPARDY!
SLUS-01173;JEOPARDY! - 2ND EDITION
SLUS-00479;JEREMY MCGRATH SUPERCROSS '98
SLUS-00832;JEREMY MCGRATH SUPERCROSS 2000
SCUS-94907;JERSEY DEVIL
SCUS-94309;JET MOTO
SCUS-94167;JET MOTO 2
SCUS-94555;JET MOTO 3
SLUS-01509;JIGSAW MADNESS
SLUS-00500;JIMMY JOHNSON'S VR FOOTBALL '98
SLUS-01313;JIMMY WHITE'S 2 - CUEBALL
SLUS-00194;JOHNNY BAZOOKATONE
SLUS-01060;JOJO'S BIZARRE ADVENTURE
SLUS-00630;JUDGE DREDD
SLUS-00989;JUGGERNAUT
SCUS-94103;JUMPING FLASH!
SCUS-94108;JUMPING FLASH! 2
SLUS-01383;JUMPSTART - WILDLIFE SAFARI
SLUS-00177;JUPITER STRIKE
SLUS-00941;K-1 - GRAND PRIX
SLUS-00766;K-1 - REVENGE
SLUS-00414;K-1 - THE ARENA FIGHTERS
SLUS-00677;KAGERO - DECEPTION II
SLUS-00631;KARTIA - THE WORD OF FATE
SLUS-00600;KENSEI SACRED FIST
SLUS-01412;KICKBOXING
SCUS-94102;KILEAK - THE DNA IMPERATIVE
SLUS-00938;KILLER LOOP
SLUS-00369;KILLING ZONE
SLUS-00158;KING'S FIELD
SLUS-00255;KING'S FIELD II
SLUS-00801;KINGSLEY'S ADVENTURE
SLUS-01366;KISS PINBALL
SLUS-00585;KLONOA - DOOR TO PHANTOMILE
SLUS-00737;KNOCKOUT KINGS
SLUS-00993;KNOCKOUT KINGS 2000
SLUS-01269;KNOCKOUT KINGS 2001
SLUS-00945;KONAMI ARCADE CLASSICS
SLUS-01102;KOUDELKA
SCUS-94303;KRAZY IVAN
SLUS-01125;KURT WARNER'S ARENA FOOTBALL UNLEASHED
SLUS-01441;LARGO WINCH - COMMANDO SAR
SLUS-00708;LEGACY OF KAIN - SOUL REAVER
SCUS-94254;LEGEND OF LEGAIA
SLUS-01013;LEGEND OF MANA
SLUS-01246;LEGO ISLAND 2 - THE BRICKSTER'S REVENGE
SLUS-00581;LEGO RACERS
SLUS-00937;LEGO ROCK RAIDERS
SLUS-00760;LEMMINGS & OH NO MORE LEMMINGS
SCUS-94601;LEMMINGS 3D
SLUS-00293;LETHAL ENFORCES I & II
LSP-990122;LIGHTSPAN - 16 TALES 2
LSP-010170;LIGHTSPAN - A MARS MOOSE ADVENTURE - COSMIC QUEST 1 - CITY SIGHTS
LSP-010270;LIGHTSPAN - A MARS MOOSE ADVENTURE - COSMIC QUEST 2 - FAIRY TALE ISLAND
LSP-010370;LIGHTSPAN - A MARS MOOSE ADVENTURE - COSMIC QUEST 3 - RACE THROUGH FRANCE
LSP-010160;LIGHTSPAN - A MARS MOOSE ADVENTURE - STAY & PLAY 1 - IN THE CLUBHOUSE
LSP-010260;LIGHTSPAN - A MARS MOOSE ADVENTURE - STAY & PLAY 2 - IN MARS' BEDROOM
LSP-010360;LIGHTSPAN - A MARS MOOSE ADVENTURE - STAY & PLAY 3 - IN LONNIE'S CLASSROOM
LSP-010180;LIGHTSPAN - A MARS MOOSE ADVENTURE - WALKABOUT 1 - THE NATURAL HISTORY MUSEUM
LSP-010380;LIGHTSPAN - A MARS MOOSE ADVENTURE - WALKABOUT 3 - WORLD SPORTS DAY
LSP-200110;LIGHTSPAN - CALAMITY 1 - THE NATURAL WORLD
LSP-200220;LIGHTSPAN - CALAMITY 2 - PEOPLE AND TRADITIONS
