NES-RR-USA;Robo Warrior
NES-CP-USA;RoboCop
NES-2C-USA;RoboCop 2
NES-R3-USA;RoboCop 3
NES-R4-USA;Rock 'n' Ball
NES-2R-USA;Rocket Ranger
NES-5R-USA;Rocketeer, The
NES-7A-USA;Rockin' Kats
NES-6V-USA;Roger Clemens' MVP Baseball
NES-RH-USA;Rollerball
NES-R6-USA;Rollerblade Racer
NES-U5-USA;Rollergames
NES-IS-USA;Romance of The Three Kingdoms
NES-XL-USA;Romance of The Three Kingdoms II
NES-RW-USA;Roundball - 2-on-2 Challenge
NES-RA-USA;Rush'n Attack
NES-RY-USA;Rygar
NES-FV-USA;S.C.A.T. - Special Cybernetic Attack Team
NES-SZ-USA;Section Z
NES-SE-USA;Seicross
NES-5A-USA;Sesame Street 123 - ABC
NES-H3-USA;Sesame Street 123
NES-H4-USA;Sesame Street ABC
NES-85-USA;Sesame Street Countdown
NES-JL-USA;Shadow of the Ninja
NES-3S-USA;Shadowgate
NES-9H-USA;Shatterhand
NES-23-USA;Shingen The Ruler
NES-ZS-USA;Shooting Range
NES-OR-USA;Short Order - Eggsplode
NES-PK-USA;Side Pocket
NES-IV-USA;Silent Service
NES-LK-USA;Silkworm
NES-VQ-USA;Silver Surfer
NES-Q5-USA;Simpsons, The - Bart Vs. the Space Mutants
NES-Y9-USA;Simpsons, The - Bart Vs. the World
NES-RN-USA;Simpsons, The - Bartman Meets Radioactive Man
NES-E4-USA;Skate or Die 2 - The Search for Double Trouble
NES-DI-USA;Skate or Die!
NES-7S-USA;Ski or Die
NES-SY-USA;Sky Kid
NES-2S-USA;Sky Shark
NES-SL-USA;Slalom
NES-5V-USA;Smash T.V.
NES-RJ-USA;Snake Rattle N Roll
NES-E2-USA;Snake's Revenge
NES-OP-USA;Snoopy's Silly Sports Spectacular
NES-7L-USA;Snow Brothers
NES-SC-USA;Soccer
NES-LJ-USA;Solar Jetman - Hunt for the Golden Warpship
NES-KE-USA;Solomon's Key
NES-LX-USA;Solstice - The Quest for the Staff of Demnos
NES-9A-USA;Space Shuttle Project
NES-SU-USA;Spelunker
NES-RX-USA;Spider-Man - Return of the Sinister Six
NES-3P-USA;Spot
NES-HU-USA;Spy Hunter
NES-SP-USA;Spy vs Spy
NES-SQ-USA;Sqoon
NES-BL-USA;Stack Up
NES-SD-USA;Stadium Events
NES-SS-USA;Stanley - The Search for Dr. Livingston
NES-FO-USA;Star Force
NES-SO-USA;Star Soldier
NES-8Z-USA;Star Trek - 25th Anniversary
NES-NX-USA;Star Trek - The Next Generation
NES-SV-USA;Star Voyager
NES-EK-USA;Star Wars - The Empire Strikes Back
NES-7V-USA;Star Wars
NES-HH-USA;Starship Hector
NES-OC-USA;Startropics
NES-6C-USA;Startropics II - Zoda's Revenge
NES-LH-USA;Stealth ATF
NES-SR-USA;Stinger
NES-EC-USA;Street Cop
NES-YA-USA;Street Fighter 2010 - The Final Fight
NES-HX-USA;Strider
NES-UE-USA;Super C
NES-6S-USA;Super Cars
NES-ND-USA;Super Dodge Ball
NES-5L-USA;Super Glove Ball
NES-7J-USA;Super Jeopardy!
NES-SM-USA;Super Mario Bros.
NES-MH-USA;Super Mario Bros. + Duck Hunt
NES-WH-USA;Super Mario Bros. + Duck Hunt + World Class Track Meet
NES-MW-USA;Super Mario Bros. 2
NES-UM-USA;Super Mario Bros. 3
NES-PI-USA;Super Pitfall
NES-VJ-USA;Super Spike V'Ball
NES-QJ-USA;Super Spike V'Ball + Nintendo World Cup
NES-UY-USA;Super Spy Hunter
NES-UN-USA;Super Team Games
NES-SN-USA;Superman
NES-SW-USA;Swamp Thing
NES-8S-USA;Sword Master
NES-WP-USA;Swords and Serpents
